fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology
FAAAX,Topic 1,Multialternative,Franklin Templeton Investments,1210000000,4.35,0,4,10/10/2013,Growth,Large,USD,2.61,1.57,37.94,37.5,16.05,0.31,0.07,7.37,18.54,2.91,1.95,10.53,"21,356.76",7.03,16.19,8.32,0.25,1.87,21.54,0.73,1.51,1.17,19.11,22.27
FAACX,Topic 2,Muni National Long,Nuveen,4060000000,3.22,2.96,4,6/1/1993,Growth,Medium,USD,1.27,0.85,0.13,0,99.19,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAAFX,Topic 7,Allocation - 30% to 50% Equity,Fairholme,76620000,11.21,1.02,1,12/30/2010,Growth,Small,USD,1.01,0.79,53.73,14.26,13.65,0,18.36,0,101.18,0.81,0.56,8.38,529.67,23.69,15.97,0,60.35,0,0,0,0,0,0,0
FAAGX,Topic 1,Allocation - 70% to 85% Equity,Nuveen,54910000,12.03,2.14,2,9/23/2001,Blend,Large,USD,1.2,0.77,5.82,78.77,14.66,0.64,0.03,0.09,14.54,1.91,1.3,7.26,"31,794.47",3.34,12.93,16.36,6.45,5.61,11.25,2.93,4.56,6.62,11.6,18.34
FAAIX,Topic 6,Allocation - 50% to 70% Equity,Fidelity Investments,5220000000,10.23,1.36,4,9/22/2008,Growth,Large,USD,0.74,0.82,5.23,70.39,20.16,4.09,0.14,0,15.09,2.03,1.57,7.8,"39,363.15",4,11.57,17.18,4.36,7.9,12.83,3.17,2.78,5.46,10.09,20.64
FAARX,Topic 5,Muni National Long,Nuveen,4060000000,3.41,3.73,5,2/5/1997,Growth,Medium,USD,0.52,0.85,0.13,0,99.19,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAASX,Topic 6,Allocation - 50% to 70% Equity,Fidelity Investments,5220000000,10.19,1.1,4,9/22/2008,Growth,Large,USD,1.02,0.82,5.23,70.39,20.16,4.09,0.14,0,15.09,2.03,1.57,7.8,"39,363.15",4,11.57,17.18,4.36,7.9,12.83,3.17,2.78,5.46,10.09,20.64
FAATX,Topic 1,Target-Date 2000-2010,American Funds,3200000000,6,1.92,4,2/20/2014,Blend,Large,USD,0.7,0.47,7.64,38.26,53.61,0.05,0.13,0.17,15.24,2.29,1.85,8,"84,747.86",4.69,8.57,13.09,4.12,10.09,15.25,5.3,5.02,9.63,8.48,15.75
FAAWX,Topic 6,Muni National Long,Nuveen,4060000000,3.41,3.72,5,6/29/2016,Growth,Medium,USD,0.48,0.85,0.13,0,99.19,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABCX,Topic 3,Allocation - 50% to 70% Equity,Fidelity Investments,3550000000,10.24,0.49,4,11/2/1997,Blend,Large,USD,1.62,0.82,5.5,64.19,30.2,0,0.09,0.02,15.86,2.53,1.7,8.15,"62,698.29",2.78,11.09,14.72,2.09,6.83,15.1,2.99,3.47,5.26,8.81,26.84
FABDX,Topic 1,Nontraditional Bond,Franklin Templeton Investments,516120000,2.44,2.17,1,8/2/2015,Value,Small,USD,1.59,1.18,18.2,0,81.46,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABFX,Topic 3,Nontraditional Bond,Franklin Templeton Investments,516120000,2.62,2.34,2,8/2/2015,Value,Small,USD,1.19,1.18,18.2,0,81.46,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABLX,Topic 3,Allocation - 50% to 70% Equity,Fidelity Investments,3550000000,10.44,1.19,4,9/2/1996,Blend,Large,USD,0.87,0.82,5.8,63.15,28.86,2.09,0.08,0,15.37,2.52,1.69,8.8,"62,850.12",2.41,11.84,14.37,2.19,7.06,15.73,3.03,3.42,5.08,8.65,26.21
FABMX,Topic 6,Nontraditional Bond,Franklin Templeton Investments,516120000,2.46,2.28,2,8/2/2015,Value,Small,USD,1.44,1.18,18.2,0,81.46,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABNX,Topic 6,Nontraditional Bond,Franklin Templeton Investments,516120000,2.72,2.78,2,8/2/2015,Value,Small,USD,0.9,1.18,18.2,0,81.46,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABSX,Topic 1,Multisector Bond,Nuveen,579980000,5.47,3.18,3,9/23/2001,Blend,Medium,USD,1.08,1.03,1.4,0,89.45,2.28,2.43,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
